ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,state
3.093311564804956e-05,7.316781949800082e-05,0.00019769237699975822,0.0002639896942840793,0.0002002485367210062,0.0005699694338450987,0.00028451322638704384,6.814698951636627e-05,0.00024079454921335206,0.00019615519015846623,0.00017703527890476642,0.00016105870328186173,0.00020512000744803122,0.0002162923929923488,0.00026571688618409956,0.00033408781688304076,0.00017616738001168618,0.00019402641544715498,0.0001542816072310051,-2.3265110396380716e-06,-0.061503372841799464
3.048965947399131e-05,7.263973866505347e-05,0.00019769237699975822,0.00026064232547207865,0.0002002485367210062,0.0005625643099080314,0.00028350465236197777,7.298366408183748e-05,0.00023816613607296499,0.00019016104597493493,0.00018148031420401692,0.00016185257818817167,0.00020246716857743753,0.0002187192248943782,0.0002590796862833217,0.00033312023418417916,0.0001736212120412695,0.00019016833319800036,0.0001496297306203565,-7.685559876742175e-06,-0.06205956292218784
3.016005679522251e-05,7.201422676700474e-05,0.00019742226761902925,0.00025697169197931927,0.0002002485367210062,0.0005540939974352785,0.00028217597753567563,7.744609776148728e-05,0.00023508446572251753,0.0001837239409550654,0.00018514061062209066,0.00016204408323979637,0.00019918899410456163,0.00022118249575040335,0.0002516181933795518,0.0003315757965583049,0.000170756880855021,0.0001860102654756133,0.0001446642555573014,-1.3049122383521892e-05,-0.06261725490574666
2.991529302142131e-05,7.128931167198722e-05,0.00019666320894867574,0.000252974897458692,0.00020009714586078237,0.0005445780754430548,0.0002805442930095726,8.15022447392657e-05,0.000231555433911288,0.00017685551469443043,0.00018797952022755484,0.00016204408323979637,0.00019529636173028038,0.00022366039367263823,0.00024336540244761836,0.0003294661922220946,0.00016758053336813115,0.00018156018002812987,0.00013940968261685598,-1.8390361656344353e-05,-0.06317644096512359
2.9722309840452944e-05,7.046310467935929e-05,0.00019556163825399652,0.0002486482475526864,0.00019888497611643852,0.0005340412714662046,0.00027862652785175365,8.512288973317132e-05,0.00022758710182828272,0.0001695697956453811,0.00018996626066668896,0.00016204408323979637,0.00019080464973105117,0.0002261281724058974,0.00023436011954409313,0.00032680636938531933,0.00016409927122242808,0.0001768263848124431,0.00013389251209004022,-2.368235952198404e-05,-0.06373711250383052
2.9544508844975606e-05,6.95339335430604e-05,0.00019411422815757888,0.00024398749773374762,0.00019705727626808344,0.0005225135368693672,0.0002764392781595628,8.828192273408886e-05,0.00022318979196469014,0.00016188334516679595,0.00019059993636793662,0.0001613645565727055,0.00018573362719748957,0.00022855854141570628,0.0002246466268700085,0.0003236144485462084,0.0001603211323181801,0.0001718174844276102,0.00012814111367854316,-2.889818776537348e-05,-0.06429926013034926
2.9342307089048334e-05,6.85004658259073e-05,0.00019231868846956724,0.00023898815500597185,0.00019459828674064884,0.0005100300999307835,0.0002739986873825979,9.095658619606775e-05,0.00021837616283546335,0.00015381536661821684,0.00019059993636793662,0.00016031112920868073,0.0001801072966753444,0.00023092209751758284,0.00021427429366325238,0.0003199116156168639,0.00015625506884049645,0.00016654234454203313,0.00012218557398668134,-3.401097558787848e-05,-0.06486287364164822
2.907373577155269e-05,6.736182017328345e-05,0.0001901737870747065,0.0002336458261415358,0.0001914961046647444,0.0004966314931377438,0.0002713203792064899,9.31276909619394e-05,0.0002131612594334767,0.00014538777409560963,0.00019059993636793662,0.00015888518608612678,0.00017395369215642676,0.00023318778949563335,0.00020329713733795222,0.0003157219967417055,0.0001519109230983661,0.00016101006560783013,0.00011605752272243447,-3.8993974544399244e-05,-0.06542794201720548
2.8695073150953043e-05,6.61176635231846e-05,0.00018767936097028717,0.000227956603253749,0.00018774300541527707,0.0004823635504382882,0.0002684194417645305,9.477979778779333e-05,0.0002075625365203481,0.00013662521620797215,0.0001889977466745425,0.00015708994303900345,0.0001673046357794089,0.00023532340661433767,0.00019177333968484463,0.00031107251543278913,0.00014729940240862727,0.00015522996678089604,0.00010978993881422494,-4.3820622425068135e-05,-0.06599445342456833
2.816150285379008e-05,6.476829274044485e-05,0.00018483632102631598,0.0002219174759218127,0.00018333573187414779,0.0004672773696515042,0.00026531045956624936,9.590136197843597e-05,0.00020159985219735072,0.0001275550512736557,0.0001864872963652477,0.00015493045176838427,0.0001601954569157469,0.00023729608160408757,0.00017976472331547043,0.0003059927324494425,0.00014243205412714475,0.0001492115805679133,0.00010341693795008182,-4.846460769819705e-05,-0.06656239523739227
